user_id,team,org_unit,log_date,prompt_count,avg_quality_score,category
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-02,6,7.7,Data Query
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-05,11,8.1,Documentation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-06,6,8.1,Documentation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-07,5,8.3,Summarization
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-10,12,7.6,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-11,1,8.3,Planning
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-13,7,6.8,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-14,11,7.9,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-15,5,6.9,Data Query
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-16,2,8.3,Summarization
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-17,1,8.1,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-21,13,7.6,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-22,18,8.6,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-24,11,8.3,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-26,12,7.1,Summarization
AI_USR001,Org-Delta-Team4,Org-Delta,2026-01-27,18,8.4,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-01,20,7.1,Data Query
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-06,4,8.1,Planning
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-07,10,8.1,Documentation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-09,5,7.8,Planning
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-10,8,9.1,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-11,18,9.0,Code Generation
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-12,18,8.5,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-13,8,8.0,Planning
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-14,8,8.5,Planning
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-16,17,8.5,Debugging
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-17,14,9.4,Summarization
AI_USR001,Org-Delta-Team4,Org-Delta,2026-02-18,13,8.5,Documentation
