user_id,role,table_name,table_owner,last_accessed_date,query_count_30d
USR001,FINANCE_READER,DB_FIN.SCHEMA_1.TBL_275,Product,2026-04-10,46
USR001,FINANCE_READER,DB_IT.SCHEMA_5.TBL_474,Finance,2026-04-06,147
USR001,FINANCE_READER,DB_OPE.SCHEMA_5.TBL_371,Finance,2026-03-25,164
USR001,FINANCE_READER,DB_OPE.SCHEMA_2.TBL_872,Marketing,2026-04-10,13
USR001,FINANCE_READER,DB_SAL.SCHEMA_4.TBL_433,,2026-03-18,145
USR001,FINANCE_READER,DB_ENG.SCHEMA_5.TBL_772,Operations,2026-04-03,118
USR001,FINANCE_READER,DB_OPE.SCHEMA_5.TBL_279,Operations,2026-04-03,194
USR001,FINANCE_READER,DB_PRO.SCHEMA_1.TBL_566,,2026-04-05,126
USR001,FINANCE_READER,DB_DES.SCHEMA_4.TBL_314,Marketing,2026-03-17,59
USR001,FINANCE_READER,DB_FIN.SCHEMA_5.TBL_756,People,2026-04-10,131
USR001,FINANCE_READER,DB_LEG.SCHEMA_2.TBL_274,,2026-03-11,7
USR002,DATA_STEWARD,DB_PEO.SCHEMA_5.TBL_843,Finance,2026-04-08,79
USR002,DATA_STEWARD,DB_LEG.SCHEMA_2.TBL_274,,2026-03-31,77
USR002,DATA_STEWARD,DB_IT.SCHEMA_5.TBL_474,Finance,2026-03-14,200
USR002,DATA_STEWARD,DB_FIN.SCHEMA_1.TBL_275,Product,2026-03-11,67
USR002,DATA_STEWARD,DB_FIN.SCHEMA_1.TBL_524,People,2026-04-04,34
USR002,DATA_STEWARD,DB_IT.SCHEMA_3.TBL_689,Marketing,2026-04-10,52
USR002,DATA_STEWARD,DB_MAR.SCHEMA_4.TBL_463,,2026-04-06,36
USR002,DATA_STEWARD,DB_IT.SCHEMA_3.TBL_271,,2026-04-09,3
USR002,DATA_STEWARD,DB_PRO.SCHEMA_1.TBL_566,,2026-03-12,178
USR003,HR_READER,DB_IT.SCHEMA_4.TBL_555,Marketing,2026-03-18,43
USR003,HR_READER,DB_PRO.SCHEMA_1.TBL_737,Engineering,2026-04-02,81
USR003,HR_READER,DB_SAL.SCHEMA_4.TBL_507,Finance,2026-03-13,181
USR003,HR_READER,DB_SAL.SCHEMA_3.TBL_675,Operations,2026-03-31,64
USR003,HR_READER,DB_OPE.SCHEMA_5.TBL_371,Finance,2026-03-14,85
USR003,HR_READER,DB_DES.SCHEMA_5.TBL_368,Operations,2026-04-08,107
USR003,HR_READER,DB_FIN.SCHEMA_4.TBL_367,Operations,2026-03-13,116
USR003,HR_READER,DB_FIN.SCHEMA_1.TBL_275,Product,2026-04-09,48
USR003,HR_READER,DB_FIN.SCHEMA_1.TBL_234,Engineering,2026-04-07,22
USR003,HR_READER,DB_LEG.SCHEMA_2.TBL_274,,2026-03-16,71
USR003,HR_READER,DB_DES.SCHEMA_1.TBL_795,Design,2026-03-18,38
USR003,HR_READER,DB_OPE.SCHEMA_2.TBL_872,Marketing,2026-03-14,186
USR003,HR_READER,DB_OPE.SCHEMA_2.TBL_789,,2026-03-29,117
USR003,HR_READER,DB_ENG.SCHEMA_5.TBL_772,Operations,2026-03-29,39
USR003,HR_READER,DB_IT.SCHEMA_3.TBL_689,Marketing,2026-03-19,121
USR003,HR_READER,DB_LEG.SCHEMA_4.TBL_543,Engineering,2026-04-05,178
USR003,HR_READER,DB_FIN.SCHEMA_1.TBL_524,People,2026-04-02,102
USR003,HR_READER,DB_PEO.SCHEMA_5.TBL_843,Finance,2026-03-14,118
